ImageId,EncodedPixels
53df5150ee56253fe5bc91a9230d377bb21f1300f443ba45a758bcb01a15c0e4, 60932 6 61186 10 61442 11 61698 12 61954 13 62210 13 62466 14 62722 15 62978 15 63234 16 63490 16 63746 17 64002 17 64258 17 64515 16 64771 16 65028 15 65285 14
53df5150ee56253fe5bc91a9230d377bb21f1300f443ba45a758bcb01a15c0e4, 50831 3 51086 6 51341 8 51596 10 51852 10 52107 12 52363 12 52619 12 52875 12 53131 12 53387 13 53643 13 53899 13 54155 13 54411 12 54667 12 54923 12 55179 12 55435 11 55692 10 55948 9 56205 7
53df5150ee56253fe5bc91a9230d377bb21f1300f443ba45a758bcb01a15c0e4, 54243 6 54497 9 54752 12 55008 13 55264 13 55520 14 55776 15 56032 16 56288 16 56544 17 56801 17 57058 16 57314 17 57571 16 57828 15 58085 14 58342 13 58599 12 58857 10 59114 9 59371 7 59629 3
53df5150ee56253fe5bc91a9230d377bb21f1300f443ba45a758bcb01a15c0e4, 19924 2 20178 6 20433 7 20688 9 20944 10 21200 10 21455 11 21711 12 21967 12 22223 12 22479 12 22736 11 22992 11 23248 11 23505 10 23761 10 24018 8 24276 5
53df5150ee56253fe5bc91a9230d377bb21f1300f443ba45a758bcb01a15c0e4, 28327 4 28582 7 28837 9 29093 10 29348 11 29604 12 29860 12 30117 12 30373 12 30629 12 30885 12 31142 10 31398 10 31655 8 31912 6 32169 4
53df5150ee56253fe5bc91a9230d377bb21f1300f443ba45a758bcb01a15c0e4, 21347 4 21601 8 21857 9 22113 10 22368 12 22625 11 22881 12 23137 12 23394 11 23650 11 23907 10 24164 8 24423 3
53df5150ee56253fe5bc91a9230d377bb21f1300f443ba45a758bcb01a15c0e4, 12845 3 13100 6 13355 8 13611 10 13867 11 14124 11 14380 12 14637 11 14893 12 15150 11 15407 10 15664 8 15922 6
53df5150ee56253fe5bc91a9230d377bb21f1300f443ba45a758bcb01a15c0e4, 215 7 470 10 725 12 981 13 1237 13 1492 15 1748 15 2004 15 2260 16 2517 15 2773 15 3030 14 3286 14 3543 13 3800 11 4057 9
53df5150ee56253fe5bc91a9230d377bb21f1300f443ba45a758bcb01a15c0e4, 1954 3 2208 8 2463 10 2719 11 2974 13 3230 15 3486 15 3742 16 3999 16 4255 16 4512 15 4769 14 5027 12 5285 9 5544 5
53df5150ee56253fe5bc91a9230d377bb21f1300f443ba45a758bcb01a15c0e4, 34120 4 34374 7 34629 9 34884 10 35139 11 35395 11 35651 11 35907 10 36163 9 36419 8 36675 8 36933 4
53df5150ee56253fe5bc91a9230d377bb21f1300f443ba45a758bcb01a15c0e4, 30100 4 30355 6 30610 8 30866 8 31121 9 31377 9 31632 10 31888 10 32144 10 32400 9 32657 7 32914 5
53df5150ee56253fe5bc91a9230d377bb21f1300f443ba45a758bcb01a15c0e4, 12661 4 12916 6 13171 9 13427 9 13683 10 13939 11 14196 10 14452 10 14709 9 14966 7 15224 4
53df5150ee56253fe5bc91a9230d377bb21f1300f443ba45a758bcb01a15c0e4, 21768 2 22021 7 22276 8 22531 10 22787 10 23043 10 23299 9 23555 9 23811 8 24068 6 24325 3
d8d4bf68a76e4e4c5f21de7ac613451f7115a04db686151e78b8ec0b6a22022b, 34833 4 35087 8 35342 9 35597 11 35853 11 36108 12 36364 12 36620 11 36876 11 37133 9 37389 8 37647 5
d8d4bf68a76e4e4c5f21de7ac613451f7115a04db686151e78b8ec0b6a22022b, 15172 4 15427 6 15682 8 15937 9 16193 9 16449 9 16705 9 16962 7 17219 5
d8d4bf68a76e4e4c5f21de7ac613451f7115a04db686151e78b8ec0b6a22022b, 3652 7 3907 9 4162 10 4418 11 4673 12 4929 12 5185 11 5442 10 5698 9 5955 6
d8d4bf68a76e4e4c5f21de7ac613451f7115a04db686151e78b8ec0b6a22022b, 833 3 1088 6 1343 7 1599 8 1855 8 2111 8 2368 6 2624 6 2882 3
d8d4bf68a76e4e4c5f21de7ac613451f7115a04db686151e78b8ec0b6a22022b, 32270 4 32524 6 32780 7 33035 8 33290 8 33546 8 33803 6 34060 5
d8d4bf68a76e4e4c5f21de7ac613451f7115a04db686151e78b8ec0b6a22022b, 64671 4 64926 7 65182 7 65438 7
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac, 50482 3 50997 11 51514 14 52031 16 52549 18 53067 19 53585 20 54103 21 54621 22 55140 22 55658 23 56177 22 56695 23 57214 23 57733 22 58251 23 58770 22 59289 21 59808 20 60327 20 60846 19 61365 18 61884 18 62404 16 62923 15 63442 15 63962 13 64481 12 65001 10 65522 5
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac, 71963 5 72478 12 72994 17 73512 19 74030 21 74548 23 75065 26 75584 26 76102 27 76620 29 77138 30 77656 31 78175 30 78693 31 79212 31 79730 32 80249 31 80767 31 81286 31 81805 30 82324 29 82842 29 83362 27 83880 27 84400 24 84919 23 85439 20 85959 16 86480 12
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac, 53722 12 54238 18 54755 22 55273 25 55791 27 56309 29 56827 31 57345 33 57864 33 58383 34 58902 35 59421 35 59940 35 60459 36 60979 35 61499 34 62018 33 62538 32 63058 30 63579 27 64099 25 64620 22 65142 17 65664 11
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac, 63537 5 64054 9 64572 11 65090 13 65609 14 66128 15 66646 16 67165 17 67684 17 68202 18 68721 19 69240 19 69759 19 70278 19 70797 19 71316 19 71835 19 72354 19 72873 19 73392 19 73911 19 74430 19 74949 19 75468 19 75987 19 76506 18 77025 18 77544 18 78063 18 78583 16 79102 16 79621 16 80141 14 80660 14 81179 13 81699 11 82219 9 82739 6
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac, 24690 4 25205 12 25721 16 26238 20 26756 21 27274 23 27792 25 28310 26 28828 27 29347 28 29865 29 30384 29 30902 30 31421 29 31940 29 32459 29 32978 29 33497 28 34016 28 34536 26 35055 25 35574 24 36094 22 36614 20 37134 17 37654 15 38177 5
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac, 84846 9 85363 14 85880 18 86399 20 86917 22 87436 23 87954 25 88473 26 88992 26 89511 27 90031 26 90550 26 91069 26 91589 25 92109 24 92629 23 93149 22 93669 20 94189 18 94710 15 95231 12 95753 5
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac, 89995 7 90512 12 91030 14 91548 17 92067 18 92585 20 93104 21 93623 22 94142 23 94661 23 95180 24 95699 25 96218 25 96737 25 97256 26 97775 26 98295 25 98814 25 99334 25 99853 24 100373 23 100893 22 101413 21 101933 20 102453 18 102973 17 103494 14 104014 12 104535 9
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac, 115115 7 115632 10 116150 12 116668 13 117187 13 117705 14 118223 15 118742 15 119260 16 119778 17 120297 16 120815 17 121333 18 121852 17 122370 18 122889 18 123408 17 123926 18 124445 18 124964 17 125483 17 126002 17 126521 16 127040 16 127558 16 128077 15 128596 14 129115 14 129635 12 130154 11 130674 8
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac, 24936 9 25453 12 25970 16 26487 19 27005 20 27522 23 28040 24 28558 26 29077 26 29595 27 30114 27 30632 28 31151 27 31670 27 32189 27 32707 27 33227 25 33746 25 34265 24 34785 21 35304 20 35824 17 36344 13 36864 10 37385 5
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac, 21179 8 21695 13 22213 15 22731 17 23250 17 23768 19 24286 20 24805 20 25323 21 25842 21 26360 22 26879 22 27398 22 27916 23 28435 22 28953 23 29472 23 29991 22 30510 22 31029 22 31547 22 32067 20 32586 20 33105 18 33624 17 34144 14 34664 10 35185 5
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac, 47642 10 48157 16 48674 19 49191 23 49709 25 50227 27 50745 29 51264 29 51783 30 52302 30 52821 30 53339 31 53859 29 54378 29 54897 28 55417 26 55937 24 56458 20 56979 15
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac, 117846 5 118362 10 118879 13 119397 15 119915 17 120434 18 120953 18 121471 20 121990 20 122509 21 123028 21 123547 21 124066 21 124584 22 125103 22 125623 21 126142 21 126661 20 127180 20 127699 20 128219 19 128738 19 129257 18 129777 17 130297 15
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac, 226 27 745 28 1263 30 1782 30 2301 30 2820 30 3340 29 3859 29 4378 29 4898 28 5417 28 5937 27 6456 27 6976 26 7495 26 8015 25 8534 25 9053 24 9573 23 10092 22 10611 22 11131 20 11650 19 12170 17 12689 16 13209 14 13729 11 14251 5
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac, 29124 12 29640 17 30158 19 30675 22 31193 24 31711 25 32230 25 32748 26 33266 26 33785 26 34303 26 34822 25 35340 25 35859 24 36378 23 36897 21 37416 20 37935 19 38454 18 38973 17 39493 15 40013 12 40534 6
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac, 113285 13 113800 22 114318 25 114836 28 115354 30 115872 32 116391 32 116910 33 117429 33 117948 33 118467 32 118986 32 119506 30 120025 29 120546 26 121066 24 121588 18
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac, 11282 6 11797 13 12314 15 12831 18 13349 19 13867 21 14385 22 14903 23 15421 24 15940 24 16458 24 16977 24 17495 25 18014 25 18532 25 19051 25 19570 24 20089 23 20608 23 21127 22 21646 21 22165 20 22684 19 23204 17 23724 13 24245 9
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac, 7316 6 7833 10 8351 12 8869 14 9388 15 9906 17 10425 18 10944 19 11462 20 11981 20 12500 21 13019 21 13538 21 14056 22 14575 22 15094 22 15613 21 16133 20 16652 20 17171 20 17690 19 18209 19 18728 18 19247 17 19767 15 20286 14 20805 13 21325 11 21844 11 22364 8 22885 4
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac, 28789 3 29305 10 29824 13 30342 17 30861 18 31380 19 31899 21 32418 22 32937 22 33456 23 33975 24 34495 23 35014 24 35533 24 36053 23 36572 23 37091 23 37610 23 38130 21 38649 21 39169 19 39689 17 40208 16 40729 13 41250 9 41772 3
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac, 11749 8 12265 13 12782 16 13300 19 13818 21 14336 23 14854 25 15373 26 15891 28 16410 28 16929 28 17448 28 17967 28 18486 28 19005 28 19524 28 20043 28 20563 26 21082 26 21602 24 22122 22 22642 21 23162 19 23682 17 24203 13 24725 6
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac, 63931 4 64447 10 64964 13 65482 15 66000 16 66518 18 67036 19 67555 20 68074 20 68592 21 69111 22 69630 22 70149 22 70668 22 71187 22 71706 22 72225 22 72744 22 73263 22 73782 22 74302 20 74821 20 75341 19 75860 18 76380 17 76899 16 77419 15 77938 14 78458 12 78978 10 79497 9 80018 5
