ImageId,EncodedPixels
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,38819 6 39073 8 39328 10 39583 12 39838 13 40094 13 40349 14 40605 13 40862 12 41118 11 41374 10 41631 9 41888 7 42146 3
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,50788 12 51043 13 51298 15 51553 16 51809 17 52064 18 52320 18 52576 17 52832 17 53089 15 53345 15 53602 13 53859 10 54118 5
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,11401 10 11656 11 11911 12 12166 13 12422 13 12678 13 12933 13 13189 13 13445 12 13702 11 13958 10 14215 7
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,45105 5 45359 9 45614 11 45869 12 46125 13 46381 12 46637 12 46894 10 47150 9 47408 5
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,31632 7 31885 12 32140 14 32394 16 32649 17 32905 17 33161 17 33417 16 33673 16 33929 15 34185 14 34441 13 34697 12
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,24169 4 24684 12 25202 15 25719 18 26237 20 26755 22 27273 23 27791 25 28309 26 28827 28 29346 28 29864 29 30382 30 30901 29 31420 29 31939 28 32458 28 32977 27 33496 26 34016 25 34536 23 35055 22 35575 20 36095 18 36615 16 37135 13 37658 3 37662 1
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,84328 8 84844 14 85362 17 85880 19 86398 21 86916 24 87435 24 87954 26 88473 26 88992 27 89511 27 90030 28 90549 28 91069 27 91589 25 92108 25 92629 22 93148 22 93669 19 94189 17 94709 15 95230 12 95752 7
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,90988 9 91504 14 92020 19 92538 22 93055 25 93574 25 94092 27 94610 29 95129 29 95648 31 96167 31 96687 30 97206 30 97726 29 98245 29 98765 27 99285 25 99805 24 100325 22 100845 20 101366 17 101886 14
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,109437 7 109954 12 110471 16 110989 18 111507 21 112026 22 112545 22 113063 24 113582 25 114101 25 114620 26 115140 26 115659 26 116178 26 116697 26 117217 25 117737 24 118256 24 118777 22 119297 21 119817 20 120336 20 120857 18 121378 16 121898 15 122418 14 122940 10 123460 8
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,52916 4 53433 9 53951 10 54470 11 54989 11 55508 12 56027 12 56546 12 57065 12 57584 12 58104 12 58623 12 59142 12 59661 12 60180 12 60699 12 61218 12 61738 11 62257 11 62777 9 63297 8 63818 5 64339 1
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,54757 17 55274 21 55791 25 56310 26 56829 27 57348 28 57867 29 58386 30 58905 31 59424 31 59943 31 60462 31 60981 31 61500 31 62019 31 62538 31 63058 28 63579 26 64099 23 64621 18 65142 14 65665 6
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,93546 6 94064 9 94581 13 95099 15 95618 16 96137 16 96655 18 97174 18 97692 21 98211 21 98730 22 99249 22 99768 23 100287 23 100807 22 101326 22 101846 21 102365 21 102885 20 103404 20 103924 19 104444 17 104965 15 105485 13 106007 9 106529 4
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,21696 11 22214 13 22732 15 23250 17 23768 19 24286 20 24805 20 25323 21 25841 22 26360 22 26878 23 27397 23 27916 22 28435 22 28954 21 29473 21 29992 20 30511 19 31030 19 31549 18
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,11796 11 12314 13 12832 14 13350 15 13868 16 14386 17 14904 18 15423 18 15942 18 16461 18 16980 18 17499 18 18018 18 18537 18 19056 17 19575 16 20094 16 20613 15 21132 14
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,23999 8 24517 11 25036 12 25554 14 26073 14 26592 15 27110 16 27629 17 28148 17 28667 18 29186 18 29705 18 30224 19 30744 18 31263 18 31782 19 32302 18 32821 18 33341 18 33861 17 34380 17 34900 15 35420 14 35940 12 36460 11 36982 6 37503 2
