ImageId,EncodedPixels
53df5150ee56253fe5bc91a9230d377bb21f1300f443ba45a758bcb01a15c0e4, 61187 8 61442 10 61698 11 61954 12 62210 13 62466 14 62722 14 62978 15 63234 16 63490 16 63746 17 64002 17 64259 16 64515 16 64772 15 65029 14 65286 13
53df5150ee56253fe5bc91a9230d377bb21f1300f443ba45a758bcb01a15c0e4, 50831 4 51086 6 51341 8 51596 10 51852 10 52108 11 52363 12 52619 12 52875 12 53131 12 53387 12 53643 12 53899 12 54155 12 54411 12 54667 12 54923 11 55179 11 55436 10 55692 9 55949 7
53df5150ee56253fe5bc91a9230d377bb21f1300f443ba45a758bcb01a15c0e4, 54499 6 54753 10 55009 11 55264 13 55520 14 55776 15 56032 15 56288 16 56545 16 56801 17 57058 16 57315 16 57572 15 57829 14 58086 13 58343 12 58600 11 58857 10 59115 8 59372 6
53df5150ee56253fe5bc91a9230d377bb21f1300f443ba45a758bcb01a15c0e4, 215 8 470 10 726 11 981 13 1237 13 1493 13 1749 14 2005 14 2261 15 2517 15 2774 14 3030 14 3287 13 3543 12 3800 11 4058 7
53df5150ee56253fe5bc91a9230d377bb21f1300f443ba45a758bcb01a15c0e4, 28582 6 28837 8 29093 9 29348 11 29604 11 29860 12 30116 12 30373 12 30629 12 30885 11 31142 10 31398 10 31655 8 31912 6 32169 4
53df5150ee56253fe5bc91a9230d377bb21f1300f443ba45a758bcb01a15c0e4, 20178 6 20433 8 20689 8 20944 10 21200 11 21456 11 21712 11 21968 11 22224 12 22480 12 22736 12 22992 12 23249 11 23505 10 23762 9 24019 7 24277 4
53df5150ee56253fe5bc91a9230d377bb21f1300f443ba45a758bcb01a15c0e4, 21348 2 21602 7 21857 9 22113 10 22368 12 22624 13 22881 12 23137 13 23393 13 23650 12 23906 12 24163 10 24421 7 24679 4
53df5150ee56253fe5bc91a9230d377bb21f1300f443ba45a758bcb01a15c0e4, 2209 6 2464 8 2719 11 2975 12 3230 14 3486 15 3743 15 3999 16 4256 15 4512 15 4770 13 5028 11 5286 8 5544 4
53df5150ee56253fe5bc91a9230d377bb21f1300f443ba45a758bcb01a15c0e4, 12845 3 13100 5 13355 8 13611 9 13867 10 14124 10 14380 11 14637 11 14894 10 15150 10 15407 9 15665 7 15922 5
53df5150ee56253fe5bc91a9230d377bb21f1300f443ba45a758bcb01a15c0e4, 34120 4 34374 7 34629 9 34884 10 35140 10 35395 11 35651 10 35907 10 36163 9 36420 7 36676 6 36934 3
53df5150ee56253fe5bc91a9230d377bb21f1300f443ba45a758bcb01a15c0e4, 30100 4 30355 6 30610 7 30866 8 31121 9 31377 9 31632 10 31888 10 32144 9 32400 9 32656 9 32913 7 33170 4
53df5150ee56253fe5bc91a9230d377bb21f1300f443ba45a758bcb01a15c0e4, 12661 4 12916 6 13171 9 13427 9 13683 10 13939 11 14196 10 14452 10 14709 9 14966 7 15224 4
53df5150ee56253fe5bc91a9230d377bb21f1300f443ba45a758bcb01a15c0e4, 21767 3 22021 7 22276 8 22531 9 22786 11 23042 10 23298 10 23554 10 23811 8 24067 7 24325 3
d8d4bf68a76e4e4c5f21de7ac613451f7115a04db686151e78b8ec0b6a22022b, 15172 4 15426 7 15682 8 15937 9 16193 9 16449 9 16705 9 16962 7 17220 3
d8d4bf68a76e4e4c5f21de7ac613451f7115a04db686151e78b8ec0b6a22022b, 35087 7 35342 9 35597 10 35853 10 36109 11 36365 11 36621 10 36877 10 37133 10 37390 7 37647 5
d8d4bf68a76e4e4c5f21de7ac613451f7115a04db686151e78b8ec0b6a22022b, 3653 5 3907 9 4162 11 4418 11 4674 11 4930 11 5186 11 5442 10 5699 8 5956 5
d8d4bf68a76e4e4c5f21de7ac613451f7115a04db686151e78b8ec0b6a22022b, 833 4 1088 6 1344 6 1600 7 1856 7 2112 6 2369 5 2626 3
d8d4bf68a76e4e4c5f21de7ac613451f7115a04db686151e78b8ec0b6a22022b, 32270 4 32525 5 32780 7 33035 8 33291 7 33547 7 33803 7 34060 5 34317 3
d8d4bf68a76e4e4c5f21de7ac613451f7115a04db686151e78b8ec0b6a22022b, 64928 4 65183 6 65438 8
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac, 50481 6 50997 10 51514 13 52032 15 52550 16 53068 18 53586 19 54104 20 54622 21 55140 22 55659 22 56177 22 56696 22 57215 21 57733 22 58252 21 58771 21 59290 20 59809 19 60328 18 60847 18 61366 17 61885 17 62404 16 62923 15 63443 14 63962 13 64482 11 65001 10 65522 7 66043 3
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac, 227 26 746 27 1264 28 1783 29 2302 29 2821 29 3341 28 3860 28 4379 28 4899 27 5418 27 5938 26 6457 26 6977 25 7496 24 8015 24 8535 23 9054 22 9573 22 10093 20 10612 20 11131 19 11651 17 12170 16 12690 13 13210 11 13731 7
