ImageId,EncodedPixels
3c4c675825f7509877bc10497f498c9a2e3433bf922bd870914a2eb21a54fd26, 51404 5 51926 8 52449 10 52972 11 53495 12 54018 13 54542 13 55065 14 55589 14 56113 14 56637 13 57161 13 57685 13 58210 11 58734 11 59259 9 59783 8 60308 5
3c4c675825f7509877bc10497f498c9a2e3433bf922bd870914a2eb21a54fd26, 71816 8 72339 9 72862 11 73386 11 73909 12 74432 13 74956 13 75479 14 76003 14 76527 14 77051 13 77575 13 78099 13 78623 13 79148 11 79672 11 80196 11 80721 9 81246 8 81771 7 82296 5
3c4c675825f7509877bc10497f498c9a2e3433bf922bd870914a2eb21a54fd26, 13677 5 14200 7 14724 7 15247 9 15771 9 16295 9 16818 10 17342 10 17866 10 18390 10 18914 10 19438 10 19962 10 20486 10 21010 10 21534 10 22058 10 22582 10 23106 10 23630 10 24154 10 24678 9 25202 9 25726 9 26250 9 26774 9 27299 8 27823 8 28347 7 28871 7 29396 6 29920 6 30445 4 30969 3
3c4c675825f7509877bc10497f498c9a2e3433bf922bd870914a2eb21a54fd26, 54236 6 54759 9 55282 10 55805 11 56328 13 56851 14 57375 14 57898 14 58422 14 58946 14 59470 13 59994 12 60518 12 61042 11 61566 10 62091 8 62616 6
3c4c675825f7509877bc10497f498c9a2e3433bf922bd870914a2eb21a54fd26, 25258 5 25781 7 26305 7 26828 9 27352 9 27876 9 28399 11 28923 11 29447 11 29971 11 30494 12 31018 12 31542 12 32066 13 32590 13 33113 14 33637 14 34161 14 34685 14 35209 14 35733 14 36257 14 36781 14 37305 14 37829 14 38353 14 38877 14 39401 14 39925 14 40449 13 40973 13 41498 12 42022 12 42546 11 43070 11 43594 11 44118 10 44642 10 45167 9 45691 8 46215 8 46739 7 47263 7 47788 6 48312 5 48837 3
3c4c675825f7509877bc10497f498c9a2e3433bf922bd870914a2eb21a54fd26, 159543 4 160065 7 160588 9 161111 10 161635 10 162158 11 162682 12 163206 12 163730 11 164254 11 164778 11 165302 11 165826 10 166350 10 166874 9 167398 9 167923 7 168448 5
3c4c675825f7509877bc10497f498c9a2e3433bf922bd870914a2eb21a54fd26, 51991 4 52513 7 53036 9 53559 10 54083 10 54607 10 55130 11 55654 11 56178 11 56702 11 57225 12 57749 12 58273 12 58797 12 59322 11 59846 10 60370 10 60895 9 61420 7 61945 5
3c4c675825f7509877bc10497f498c9a2e3433bf922bd870914a2eb21a54fd26, 77622 2 78145 4 78668 6 79192 6 79715 7 80240 7 80763 8 81287 8 81811 9 82335 9 82859 9 83383 9 83907 10 84431 10 84955 10 85478 11 86002 11 86526 12 87050 12 87575 11 88099 11 88623 11 89147 11 89671 11 90195 11 90719 10 91243 10 91767 10 92292 9 92816 9 93340 9 93865 8 94389 7 94914 6 95438 5
3c4c675825f7509877bc10497f498c9a2e3433bf922bd870914a2eb21a54fd26, 122149 6 122672 8 123195 9 123718 10 124241 11 124765 11 125289 11 125813 11 126337 10 126861 10 127385 10 127908 10 128432 9 128956 9 129480 8 130004 7 130527 8 131051 7 131575 7 132099 7 132623 6 133148 5
3c4c675825f7509877bc10497f498c9a2e3433bf922bd870914a2eb21a54fd26, 49751 3 50274 4 50798 5 51321 6 51845 6 52369 7 52893 7 53416 8 53940 8 54464 8 54988 8 55512 8 56036 8 56559 9 57083 9 57607 9 58131 9 58655 9 59179 9 59704 8 60228 8 60752 8 61276 8 61800 7 62324 7 62848 7 63372 7 63897 5 64421 5
3c4c675825f7509877bc10497f498c9a2e3433bf922bd870914a2eb21a54fd26, 134796 4 135319 7 135842 9 136366 10 136890 11 137414 12 137938 13 138462 13 138986 14 139510 15 140034 15 140558 16 141082 16 141607 16 142131 16 142655 16 143179 17 143703 17 144228 16 144752 16 145276 16 145801 15 146325 14 146849 14 147374 13 147898 12 148423 11 148948 9 149473 7
3c4c675825f7509877bc10497f498c9a2e3433bf922bd870914a2eb21a54fd26, 29488 5 30011 7 30535 7 31059 8 31582 9 32106 9 32630 9 33154 9 33678 9 34202 9 34726 8 35250 8 35773 9 36297 9 36821 9 37345 8 37869 8 38392 8 38916 8 39440 7 39964 7 40489 5 41013 4
3c4c675825f7509877bc10497f498c9a2e3433bf922bd870914a2eb21a54fd26, 139283 3 139805 6 140328 8 140851 9 141375 9 141898 10 142421 11 142945 11 143469 11 143992 12 144516 12 145040 12 145564 11 146088 11 146612 11 147136 11 147660 11 148184 11 148708 11 149232 10 149756 10 150280 10 150804 10 151328 10 151852 9 152376 9 152900 9 153424 9 153948 8 154473 6 154997 6 155522 4
3c4c675825f7509877bc10497f498c9a2e3433bf922bd870914a2eb21a54fd26, 13276 3 13799 5 14323 5 14846 7 15370 7 15893 8 16417 9 16940 10 17464 10 17987 12 18511 12 19035 12 19559 12 20083 11 20607 11 21131 11 21655 10 22179 9 22704 7 23229 4
3c4c675825f7509877bc10497f498c9a2e3433bf922bd870914a2eb21a54fd26, 80830 6 81353 8 81877 8 82400 9 82923 11 83447 11 83970 11 84494 12 85017 12 85541 12 86065 12 86588 13 87112 13 87636 13 88160 13 88683 14 89207 14 89731 14 90255 14 90779 13 91303 13 91827 13 92351 13 92875 12 93399 12 93923 12 94447 11 94971 11 95494 12 96018 11 96542 11 97066 11 97590 10 98114 10 98638 9 99161 10 99685 9 100209 9 100733 8 101258 7
3c4c675825f7509877bc10497f498c9a2e3433bf922bd870914a2eb21a54fd26, 118907 2 119429 5 119953 5 120476 6 121000 7 121523 8 122047 8 122570 9 123094 9 123618 9 124141 10 124665 10 125189 9 125712 10 126236 10 126760 10 127283 11 127807 11 128331 10 128855 10 129379 10 129902 11 130426 10 130950 10 131474 10 131997 11 132521 10 133045 10 133569 10 134093 9 134617 9 135141 8 135665 8 136189 7 136714 6
3c4c675825f7509877bc10497f498c9a2e3433bf922bd870914a2eb21a54fd26, 123003 4 123525 7 124048 8 124572 8 125095 9 125618 10 126142 10 126666 10 127189 11 127713 11 128237 11 128760 12 129284 12 129808 11 130332 11 130856 11 131380 11 131904 11 132428 11 132952 11 133476 11 134000 11 134524 11 135048 11 135572 10 136097 9 136621 9 137145 9 137670 8 138194 7 138719 5
3c4c675825f7509877bc10497f498c9a2e3433bf922bd870914a2eb21a54fd26, 27978 6 28500 11 29023 12 29547 13 30070 14 30594 14 31118 14 31643 13 32168 12 32693 10 33218 9 33742 9 34267 7 34791 7 35317 3
3c4c675825f7509877bc10497f498c9a2e3433bf922bd870914a2eb21a54fd26, 160102 5 160625 7 161149 7 161672 8 162195 9 162718 10 163242 10 163766 10 164289 11 164813 10 165336 10 165860 10 166384 9 166908 9 167431 9 167956 8 168479 9 169004 7 169528 7 170052 7 170576 7 171100 7 171624 6 172149 5 172674 4
3c4c675825f7509877bc10497f498c9a2e3433bf922bd870914a2eb21a54fd26, 46190 4 46714 4 47237 6 47761 6 48285 7 48809 7 49333 7 49857 8 50381 8 50904 9 51428 9 51952 9 52476 9 53000 9 53524 9 54048 9 54572 9 55096 9 55620 9 56144 9 56668 9 57191 10 57716 9 58240 9 58764 9 59288 8 59812 8 60336 8 60860 7 61384 7 61908 6 62433 5 62957 4
3c4c675825f7509877bc10497f498c9a2e3433bf922bd870914a2eb21a54fd26, 52822 4 53345 6 53869 6 54393 7 54917 7 55441 8 55965 8 56489 8 57013 8 57536 9 58060 10 58584 10 59108 10 59632 10 60156 10 60680 10 61204 9 61728 9 62252 9 62776 9 63299 10 63823 10 64347 10 64871 10 65395 10 65919 10 66443 9 66967 9 67491 9 68015 9 68540 8 69064 7 69588 7 70112 6 70637 5 71162 3
3c4c675825f7509877bc10497f498c9a2e3433bf922bd870914a2eb21a54fd26, 71191 3 71714 4 72238 3 72762 3 72768 1 73285 4 73292 2 73809 6 73816 2 74333 10 74856 11 75380 11 75904 12 76429 11 76953 11 77477 12 78002 11 78526 11 79051 10 79576 9 80100 8 80625 7 81150 5
3c4c675825f7509877bc10497f498c9a2e3433bf922bd870914a2eb21a54fd26, 70496 2 71018 5 71541 7 72064 8 72587 9 73110 10 73634 10 74157 10 74681 10 75204 11 75727 12 76251 12 76774 13 77298 13 77821 15 78345 15 78869 16 79392 17 79916 16 80440 16 80963 16 81487 15 82011 14 82535 12 83059 10 83583 9 84107 8 84631 7 85156 4
3c4c675825f7509877bc10497f498c9a2e3433bf922bd870914a2eb21a54fd26, 2849 5 3372 7 3896 7 4420 8 4944 8 5468 8 5991 9 6515 9 7038 10 7562 10 8085 12 8609 12 9133 12 9656 14 10180 14 10704 14 11228 15 11752 15 12277 14 12801 14 13326 13 13850 13 14375 12 14900 11 15425 10 15950 9 16475 8 17000 7 17525 6 18050 5 18574 4
3c4c675825f7509877bc10497f498c9a2e3433bf922bd870914a2eb21a54fd26, 32131 3 32654 5 33177 7 33700 8 34224 8 34747 9 35271 9 35794 10 36318 10 36842 10 37365 11 37889 10 38412 11 38936 11 39459 11 39983 11 40507 11 41031 11 41555 10 42080 9 42605 7 43130 5
3c4c675825f7509877bc10497f498c9a2e3433bf922bd870914a2eb21a54fd26, 98691 1 99214 4 99737 6 100261 6 100784 8 101308 8 101832 8 102356 8 102880 9 103404 9 103928 9 104452 9 104976 8 105500 8 106024 8 106548 8 107072 8 107597 6 108121 6 108647 3
3c4c675825f7509877bc10497f498c9a2e3433bf922bd870914a2eb21a54fd26, 85878 4 86401 5 86924 7 87447 8 87970 9 88494 8 89017 9 89540 10 90064 10 90587 10 91111 10 91634 11 92158 11 92682 10 93205 11 93729 11 94253 11 94777 11 95300 12 95824 11 96348 11 96872 11 97396 11 97921 9 98445 9 98969 9 99493 9 100017 8 100542 7 101067 5
3c4c675825f7509877bc10497f498c9a2e3433bf922bd870914a2eb21a54fd26, 36948 6 37470 9 37992 11 38514 13 39038 13 39561 14 40085 13 40609 12 41132 13 41656 12 42181 10 42705 10 43230 8 43754 7 44280 3
