ImageId,EncodedPixels
0019c086029dd3be01f72131edb74e21ee995574e6d5c136ea868630b0d73523,20972 8 21227 11 21481 14 21737 15 21992 16 22248 17 22503 19 22759 19 23015 19 23271 19 23527 20 23783 20 24039 20 24295 19 24551 19 24808 18 25064 17 25321 16 25577 15 25834 13 26090 12
0019c086029dd3be01f72131edb74e21ee995574e6d5c136ea868630b0d73523,50757 11 51012 15 51268 16 51523 19 51779 20 52035 22 52291 23 52547 23 52803 23 53059 24 53316 23 53572 23 53829 22 54085 22 54342 21 54599 19 54856 18 55113 17 55370 15 55627 13 55884 11
0019c086029dd3be01f72131edb74e21ee995574e6d5c136ea868630b0d73523,23240 13 23494 17 23749 20 24004 22 24259 23 24515 24 24770 26 25026 27 25282 27 25537 29 25793 29 26050 29 26306 29 26562 29 26818 29 27074 29 27330 29 27587 28 27844 26 28101 24 28357 23 28614 21 28872 18
0019c086029dd3be01f72131edb74e21ee995574e6d5c136ea868630b0d73523,78183 9 78437 13 78691 16 78946 18 79201 20 79456 22 79712 22 79967 24 80223 24 80479 24 80735 24 80991 23 81247 23 81504 21
0019c086029dd3be01f72131edb74e21ee995574e6d5c136ea868630b0d73523,13696 6 13950 10 14205 12 14459 15 14714 17 14969 19 15225 20 15480 21 15736 21 15991 22 16247 22 16503 22 16760 21 17016 21 17272 21 17529 20 17785 20 18042 19 18299 18 18556 17 18812 16 19069 14 19327 11 19584 9
00b4b9c026cfc91af21691503bad67081fc02d5c77b3cd27200d02dca6966b83,62817 3 63070 10 63325 13 63580 15 63836 15 64092 15 64349 14 64605 14 64863 12 65120 10
00b4b9c026cfc91af21691503bad67081fc02d5c77b3cd27200d02dca6966b83,20978 8 21232 12 21487 13 21743 13 21998 14 22255 13 22511 13 22768 12 23025 9 23281 8
00b4b9c026cfc91af21691503bad67081fc02d5c77b3cd27200d02dca6966b83,32693 3 32946 8 33200 11 33455 13 33710 14 33966 14 34222 14 34478 14 34734 14 34991 13 35248 10 35505 7
00b4b9c026cfc91af21691503bad67081fc02d5c77b3cd27200d02dca6966b83,7930 4 8184 8 8440 8 8696 8 8952 8 9208 8 9464 8 9720 8 9977 7 10233 7 10490 6 10747 5 11004 4
00b4b9c026cfc91af21691503bad67081fc02d5c77b3cd27200d02dca6966b83,41976 2 42230 6 42485 7 42740 9 42996 10 43252 10 43507 11 43763 11 44019 11 44276 10 44532 9 44789 8 45046 6
00b4b9c026cfc91af21691503bad67081fc02d5c77b3cd27200d02dca6966b83,41363 7 41617 10 41872 11 42128 11 42384 11 42640 11 42896 11 43152 11 43409 9 43665 8
00b4b9c026cfc91af21691503bad67081fc02d5c77b3cd27200d02dca6966b83,16268 7 16522 11 16777 12 17033 12 17289 12 17545 12 17801 12 18058 11 18315 9 18572 7
00b4b9c026cfc91af21691503bad67081fc02d5c77b3cd27200d02dca6966b83,31051 8 31305 12 31559 15 31814 18 32070 18 32326 18 32582 18 32839 17 33095 17 33352 16 33610 13 33868 9
00b4b9c026cfc91af21691503bad67081fc02d5c77b3cd27200d02dca6966b83,995 5 1250 7 1506 8 1761 10 2017 10 2273 11 2530 11 2786 11 3042 11 3299 10 3555 10 3812 9 4069 8 4325 7
