ImageId,EncodedPixels
48d8d922b9d1d0432b48ce79166e6ce66cf7da9ddcaffd37081291150c624b99,
ec08ebb6e7800468d58fd7a4d4843c973ebc4dc2effb9042baf011d55b8d877e,
64a78750efd256b849a0ef5f9a5f20ff87f8895ab4c23283b6ed12d264f52224,
0e0344d43dcd8cdcb312c050780d84a854d34a880e656b88b4e08ef66e22db57, 16579 8 16834 10 17090 12 17346 12 17602 12 17858 12 18114 12 18371 11 18627 10
0e0344d43dcd8cdcb312c050780d84a854d34a880e656b88b4e08ef66e22db57, 34200 6 34454 10 34709 12 34965 12 35221 12 35477 12 35733 12 35990 11 36247 9
0e0344d43dcd8cdcb312c050780d84a854d34a880e656b88b4e08ef66e22db57, 62578 5 62831 10 63084 14 63338 17 63594 17 63849 18 64105 17 64361 16 64617 15 64874 11
0e0344d43dcd8cdcb312c050780d84a854d34a880e656b88b4e08ef66e22db57, 29837 8 30090 12 30345 14 30601 14 30857 14 31113 14 31370 13 31627 10 31884 8
0e0344d43dcd8cdcb312c050780d84a854d34a880e656b88b4e08ef66e22db57, 9979 1 10233 5 10488 7 10744 7 10999 8 11254 9 11510 9 11766 9 12022 9 12278 9 12534 8 12790 8 13046 8 13302 7 13559 6 13818 1
0e0344d43dcd8cdcb312c050780d84a854d34a880e656b88b4e08ef66e22db57, 21125 3 21379 6 21634 8 21890 9 22146 9 22402 9 22658 9 22914 9 23171 8 23427 8 23684 6
0e0344d43dcd8cdcb312c050780d84a854d34a880e656b88b4e08ef66e22db57, 60602 9 60856 14 61111 17 61366 19 61622 19 61878 19 62134 19 62391 18 62648 17 62905 15 63162 13 63422 7
0e0344d43dcd8cdcb312c050780d84a854d34a880e656b88b4e08ef66e22db57, 26240 4 26494 9 26749 10 27005 10 27261 10 27517 10 27773 10 28030 8 28286 7
0e0344d43dcd8cdcb312c050780d84a854d34a880e656b88b4e08ef66e22db57, 14723 3 14976 7 15231 9 15487 9 15743 9 15999 9 16255 8 16513 5
0e0344d43dcd8cdcb312c050780d84a854d34a880e656b88b4e08ef66e22db57, 41290 6 41542 13 41797 14 42052 15 42308 15 42564 15 42820 15 43076 15 43333 13 43589 11
0e0344d43dcd8cdcb312c050780d84a854d34a880e656b88b4e08ef66e22db57, 22164 7 22419 9 22674 11 22930 12 23186 12 23442 12 23698 12 23955 11 24212 9 24469 8
0e0344d43dcd8cdcb312c050780d84a854d34a880e656b88b4e08ef66e22db57, 51221 4 51475 8 51729 11 51983 13 52239 13 52494 14 52750 13 53005 13 53261 12 53518 10 53775 7
0e0344d43dcd8cdcb312c050780d84a854d34a880e656b88b4e08ef66e22db57, 555 6 809 9 1063 12 1319 12 1575 12 1831 12 2087 12 2343 11 2599 10
0e0344d43dcd8cdcb312c050780d84a854d34a880e656b88b4e08ef66e22db57, 32948 7 33203 8 33458 10 33714 10 33969 11 34225 11 34481 11 34737 11 34993 11 35250 10 35507 9 35764 7
0e0344d43dcd8cdcb312c050780d84a854d34a880e656b88b4e08ef66e22db57, 61138 8 61392 13 61647 16 61903 16 62158 17 62415 16 62671 16 62928 14 63185 12 63445 6
0e0344d43dcd8cdcb312c050780d84a854d34a880e656b88b4e08ef66e22db57, 36414 13 36669 16 36925 16 37181 16 37437 16 37693 16 37949 16 38207 14
0e0344d43dcd8cdcb312c050780d84a854d34a880e656b88b4e08ef66e22db57, 30919 7 31173 9 31428 10 31684 10 31939 11 32195 10 32451 10 32707 9 32963 8 33220 6
bc9ee507f0b0d0f68f49ee72cbf1a1275465d0b7a991366657e74a1f51b9bd79,
034ac7e5aca2a7c455a1ca65942948da016fe04f03ba4357eebce8ab458eb5d3, 79135 3 79387 10 79641 14 79896 18 80152 19 80408 20 80665 20 80922 19 81180 17 81438 15
034ac7e5aca2a7c455a1ca65942948da016fe04f03ba4357eebce8ab458eb5d3, 39668 7 39922 12 40178 13 40433 14 40689 14 40945 14 41201 13 41458 10 41715 8
9c1d68086906839ea97d51e50b26734e8507829bdec980d9e3f4170a1bc9963b,
58c96b9ada76d9964b0b6687e254e7c597ec1f733264686bc755338327d6c2cd,
bb7e996e156d680f35fe57345f83a93b2e956c177a31b9434732f60b0cbcb0ad,
ee8780b8fad230c37beab528a7f53f81bd26e325cf4e0b358e48246e945623e3,
c99648034eb174f950679710917438d7cf571f1c96986e5d0e2cf3e1b1dc6347,
9ea095a18d568d0fcb6786890ad13641badb5a4683553959b1b304a3f870c941,
bfeb60d7313e379b5c784c58c23c2cbf08ed4cd985c74e5b8c25083be299e20f,
36f84da0b506dc4a5eb3d1af5697e57c4782db9788667ede959a8dbe7914c16d,
11ef794d62ef47d62bc712171353e5223c5e8ff0308e76590a2523f855180441,
d24e1f36c46d197b20191a58e5be84d3d774a27278f7fee86514126fb71d46c8,
8a8e850a72fae13dd650b5347d95e07ea556c9146a0a3c9469534bddf984407e,
38d143081559a93551ed3b1525042a78094f3c7c004b6fe504ef48118f05d867,
7be5bb61c8187ae30c064ac8f6f473dde763c986a6705f138479a4b51e8ccf39, 37590 9 38101 12 38612 14 39123 16 39634 18 40146 19 40658 19 41170 19 41682 19 42194 19 42706 19 43219 18 43731 18 44244 16 44756 15 45269 13 45781 12 46295 8
7be5bb61c8187ae30c064ac8f6f473dde763c986a6705f138479a4b51e8ccf39, 385 14 897 15 1409 16 1921 17 2433 18 2945 19 3457 19 3969 20 4481 20 4994 19 5506 19 6019 18 6532 17 7044 17 7557 16 8070 15 8583 14 9095 13 9608 12 10121 10 10633 10 11146 8 11659 6
7be5bb61c8187ae30c064ac8f6f473dde763c986a6705f138479a4b51e8ccf39, 13790 6 14300 10 14811 12 15322 15 15833 16 16344 17 16856 17 17368 17 17880 17 18392 17 18904 17 19416 17 19929 16 20442 14 20955 12 21467 11
